instance,time_min_1,time_max_1,time_mean_1,time_median_1,time_std_1,time_q1_1,time_q3_1,avg_rss12_min_1,avg_rss12_max_1,avg_rss12_mean_1,avg_rss12_median_1,avg_rss12_std_1,avg_rss12_q1_1,avg_rss12_q3_1,var_rss12_min_1,var_rss12_max_1,var_rss12_mean_1,var_rss12_median_1,var_rss12_std_1,var_rss12_q1_1,var_rss12_q3_1,avg_rss13_min_1,avg_rss13_max_1,avg_rss13_mean_1,avg_rss13_median_1,avg_rss13_std_1,avg_rss13_q1_1,avg_rss13_q3_1,var_rss13_min_1,var_rss13_max_1,var_rss13_mean_1,var_rss13_median_1,var_rss13_std_1,var_rss13_q1_1,var_rss13_q3_1,avg_rss23_min_1,avg_rss23_max_1,avg_rss23_mean_1,avg_rss23_median_1,avg_rss23_std_1,avg_rss23_q1_1,avg_rss23_q3_1,var_rss23_min_1,var_rss23_max_1,var_rss23_mean_1,var_rss23_median_1,var_rss23_std_1,var_rss23_q1_1,var_rss23_q3_1,time_min_2,time_max_2,time_mean_2,time_median_2,time_std_2,time_q1_2,time_q3_2,avg_rss12_min_2,avg_rss12_max_2,avg_rss12_mean_2,avg_rss12_median_2,avg_rss12_std_2,avg_rss12_q1_2,avg_rss12_q3_2,var_rss12_min_2,var_rss12_max_2,var_rss12_mean_2,var_rss12_median_2,var_rss12_std_2,var_rss12_q1_2,var_rss12_q3_2,avg_rss13_min_2,avg_rss13_max_2,avg_rss13_mean_2,avg_rss13_median_2,avg_rss13_std_2,avg_rss13_q1_2,avg_rss13_q3_2,var_rss13_min_2,var_rss13_max_2,var_rss13_mean_2,var_rss13_median_2,var_rss13_std_2,var_rss13_q1_2,var_rss13_q3_2,avg_rss23_min_2,avg_rss23_max_2,avg_rss23_mean_2,avg_rss23_median_2,avg_rss23_std_2,avg_rss23_q1_2,avg_rss23_q3_2,var_rss23_min_2,var_rss23_max_2,var_rss23_mean_2,var_rss23_median_2,var_rss23_std_2,var_rss23_q1_2,var_rss23_q3_2
bending1_dataset3.csv,0.0,59750.0,29875.0,29875.0,17320.3577234036,14937.5,44812.5,36.5,46.5,44.05716666666667,44.5,1.5537243874710283,43.25,45.0,0.0,1.5,0.38104166666666667,0.47,0.32885305471779064,0.0,0.5,14.25,29.25,23.096791666666665,24.0,2.4055978376688865,21.75,24.0,0.0,2.74,0.4934583333333333,0.43,0.49738076286069693,0.0,0.83,30.0,38.5,36.29354166666667,36.25,1.312979578387984,36.0,37.0,0.0,1.79,0.5982500000000001,0.5,0.5255578980156864,0.0,1.0,60000.0,119750.0,89875.0,89875.0,17320.3577234036,74937.5,104812.5,35.0,47.4,43.85183333333334,43.5,1.5539203021891295,43.0,45.0,0.0,1.7,0.47145833333333337,0.5,0.3416320485511016,0.43,0.5,6.5,29.75,21.147916666666667,20.625,3.2632795098983203,18.4575,24.0,0.0,4.44,0.5011666666666666,0.43,0.5981355522696247,0.0,0.71,29.0,38.25,34.883375,36.0,2.2938989427119494,33.0,36.25,0.0,1.5,0.38833333333333336,0.0,0.47752981291456786,0.0,0.71
bending1_dataset4.csv,0.0,59750.0,29875.0,29875.0,17320.3577234036,14937.5,44812.5,33.75,47.75,43.278875,45.0,3.46611117118907,42.0,45.25,0.0,3.0,0.6732916666666665,0.485,0.6329622802852386,0.0,1.0,11.0,30.0,23.14125,23.75,3.1167440442712007,21.5,24.8125,0.0,4.77,0.8080416666666667,0.71,0.767701601055963,0.43,1.25,30.75,38.67,36.022125,36.0,1.6466638194771268,36.0,37.0,0.0,1.53,0.6409583333333333,0.7649999999999999,0.5533853373529355,0.0,1.22,60000.0,119750.0,89875.0,89875.0,17320.3577234036,74937.5,104812.5,33.0,46.0,41.080749999999995,42.0,3.5301032002147847,37.75,44.5,0.0,2.86,0.7187916666666666,0.5,0.6266057691487971,0.0,1.2275,8.5,29.25,21.226,22.0,4.175005369258025,18.6275,24.0,0.0,5.15,1.1717916666666668,0.87,1.076982144666547,0.47,1.48,20.0,38.5,30.965708333333332,30.415,3.7522763533083783,28.75,33.75,0.0,2.18,0.5860833333333333,0.47,0.49084671034402944,0.0,0.87
bending1_dataset5.csv,0.0,59750.0,29875.0,29875.0,17320.3577234036,14937.5,44812.5,33.0,45.75,41.621208333333335,42.33,3.1121403069158946,39.6525,44.25,0.0,2.83,0.6230833333333333,0.5,0.4885741087309296,0.43,0.83,3.0,28.25,19.081458333333334,19.5,5.0922965470663515,15.25,24.0,0.0,6.42,1.1150833333333334,0.825,1.1683863486545116,0.43,1.63,23.67,37.5,30.07833333333333,30.0,2.6957721013138745,28.5,31.5,0.0,1.79,0.4190833333333333,0.43,0.41034232829296186,0.0,0.71,60000.0,119750.0,89875.0,89875.0,17320.3577234036,74937.5,104812.5,39.25,43.67,41.73491666666667,41.5,0.5946770774032651,41.5,42.0,0.0,1.12,0.448875,0.5,0.2724808575080704,0.43,0.5,12.5,24.0,18.93166666666667,19.0,2.7196655227353888,17.25,20.75,0.0,2.35,0.5686666666666667,0.47,0.4553404099010859,0.43,0.83,26.0,36.0,29.635833333333334,29.75,2.0583452428805256,28.31,30.5625,0.0,1.5,0.34750000000000003,0.43,0.362386189030432,0.0,0.5
bending1_dataset6.csv,0.0,59750.0,29875.0,29875.0,17320.3577234036,14937.5,44812.5,39.0,48.0,44.117041666666665,45.0,1.3570003678201008,43.5,45.0,0.0,1.3,0.25004166666666666,0.0,0.3134439050248421,0.0,0.5,6.25,27.0,17.74416666666667,18.0,4.001785452214493,15.1875,20.0,0.0,10.03,1.123,0.83,1.1392077656570523,0.47,1.41,10.0,33.5,23.218708333333332,23.5,2.9612986309383293,21.75,24.25,0.0,5.26,0.8154166666666666,0.71,0.7165180805270877,0.43,1.12,60000.0,119750.0,89875.0,89875.0,17320.3577234036,74937.5,104812.5,37.0,46.5,42.792875,42.67,1.0565843479699102,42.5,43.0,0.0,1.58,0.5061249999999999,0.5,0.2602170268096741,0.43,0.5,5.75,23.25,13.8425,14.25,2.433342950894236,12.0,15.0,0.0,5.21,0.5757083333333334,0.43,0.72896639035273,0.0,0.8225,8.0,26.0,22.850875000000006,23.25,1.8777967100767325,22.5,23.75,0.0,4.06,0.543875,0.5,0.472457653525689,0.43,0.71
bending1_dataset7.csv,0.0,59750.0,29875.0,29875.0,17320.3577234036,14937.5,44812.5,36.67,45.0,43.48620833333334,43.71,1.2793022994053784,42.33,44.5,0.0,1.3,0.37866666666666665,0.47,0.283841015750406,0.0,0.5,4.0,26.33,16.39725,16.875,3.462001579650131,14.6275,18.0,0.0,5.17,0.6629583333333334,0.47,0.8308073372312152,0.0,0.955,11.33,30.75,22.325458333333337,21.415,4.262701388000793,19.25,24.0,0.0,2.28,0.524875,0.47,0.4858317449230752,0.0,0.83,60000.0,119750.0,89875.0,89875.0,17320.3577234036,74937.5,104812.5,36.25,48.0,44.452041666666666,44.5,1.7675568114199958,44.25,44.75,0.0,1.5,0.4475833333333333,0.5,0.23500175826765402,0.43,0.5,1.5,24.0,15.338791666666667,15.75,3.9252310704718036,13.75,18.0,0.0,3.56,0.6697500000000001,0.47,0.7430583899219046,0.0,0.8875,13.75,26.0,21.88204166666667,21.75,1.9254695310314718,21.0,23.5,0.0,2.96,0.5857499999999999,0.5,0.48690033631124147,0.4225,0.83
bending2_dataset3.csv,0.0,59750.0,29875.0,29875.0,17320.3577234036,14937.5,44812.5,21.0,50.0,32.014375,26.125,8.7252293919821,24.73,42.0,0.0,9.9,0.587875,0.47,0.9341712375371374,0.0,0.5,2.75,28.25,14.987875,14.585,5.374636970783081,11.75,18.0,0.0,7.4,0.9149583333333333,0.47,1.1821319010995441,0.43,1.09,5.0,33.75,22.217166666666667,22.415,5.88308396780313,18.4575,27.0,0.0,13.61,1.5380416666666668,1.045,1.6357031866847223,0.5,2.05,60000.0,119750.0,89875.0,89875.0,17320.3577234036,74937.5,104812.5,27.0,36.0,33.15804166666667,33.0,0.939737063366072,33.0,33.75,0.0,1.87,0.44437499999999996,0.0,0.6020731760965605,0.0,1.2275,0.0,24.33,12.895375000000001,13.75,6.164854001464674,8.1875,17.75,0.0,4.92,0.8228333333333333,0.5,0.8387109984308594,0.43,1.12,6.5,24.0,18.474249999999998,18.5,2.9882563652013974,16.9375,20.0,0.0,6.02,0.7860416666666665,0.71,0.7668054392068578,0.47,0.94
bending2_dataset4.csv,0.0,59750.0,29875.0,29875.0,17320.3577234036,14937.5,44812.5,29.0,33.0,30.71241666666667,30.29,0.9360092555038593,30.0,31.5,0.0,1.0,0.2989583333333333,0.43,0.29857327118127786,0.0,0.5,0.0,14.5,7.0572083333333335,6.5,3.604460910676827,4.4575,10.0625,0.0,4.44,0.7314583333333334,0.5,0.7653114550716518,0.43,0.87,11.0,23.25,17.869791666666668,17.71,2.0490130648511142,16.33,18.75,0.0,6.4,0.7253333333333333,0.71,0.5978669491524756,0.47,0.94,60000.0,119750.0,89875.0,89875.0,17320.3577234036,74937.5,104812.5,27.5,30.0,29.051458333333336,29.0,0.6337428158150767,28.67,29.5,0.0,0.87,0.21391666666666667,0.0,0.2430819334892844,0.0,0.47,0.0,13.67,9.275291666666666,10.0,2.7692608667772505,7.0,12.0,0.0,2.5,0.35783333333333334,0.43,0.4161653984762415,0.0,0.5,15.5,21.33,18.366,18.5,1.327613397542121,17.33,19.25,0.0,1.5,0.6779166666666666,0.71,0.3215377008307977,0.47,0.94
bending2_dataset5.csv,0.0,59750.0,29875.0,29875.0,17320.3577234036,14937.5,44812.5,19.0,39.25,29.189874999999997,27.0,6.203929902438857,25.9375,36.0,0.0,4.33,0.4970416666666667,0.43,0.7294792651363635,0.0,0.805,0.0,25.33,10.845791666666667,10.75,8.224078887020147,2.7874999999999996,18.5425,0.0,4.02,0.6724583333333333,0.43,0.8556105266205465,0.0,1.0,5.5,30.0,18.118875,18.0,4.113414435442694,16.4575,20.0,0.0,6.73,1.0997916666666667,0.82,1.1587394184761972,0.47,1.22,60000.0,119750.0,89875.0,89875.0,17320.3577234036,74937.5,104812.5,20.0,45.5,32.68633333333333,30.0,8.55831831546881,27.0,42.0,0.0,6.4,0.43729166666666663,0.43,0.7366442481034443,0.0,0.5,5.75,32.75,18.333874999999995,17.75,4.559863163265794,15.1875,22.0,0.0,11.42,0.8826249999999999,0.5,1.1394586548188868,0.0,1.22,1.67,36.0,18.659291666666665,16.25,7.151276686596868,14.4575,25.0,0.0,5.61,1.1149166666666666,0.87,0.9943737525308188,0.47,1.3
bending2_dataset6.csv,0.0,59750.0,29875.0,29875.0,17320.3577234036,14937.5,44812.5,25.0,47.5,34.110625,30.5,5.0866019298455365,30.0,39.3725,0.0,6.38,0.5285,0.47,0.7114189459570687,0.0,0.83,2.33,28.33,16.996875,16.67,5.704883783599365,13.5,22.25,0.0,5.32,0.8785416666666667,0.71,0.9249013226270262,0.0,1.25,0.0,40.33,17.908083333333334,18.25,9.222843812678146,10.0,26.3125,0.0,4.71,0.9962500000000001,0.83,0.8120817513239251,0.47,1.25,60000.0,119750.0,89875.0,89875.0,17320.3577234036,74937.5,104812.5,25.0,33.0,28.005875,27.585,1.4314774073342313,27.0,29.0,0.0,2.18,0.28241666666666665,0.43,0.3232516971683555,0.0,0.47,2.0,19.0,13.596458333333333,14.29,2.909405358476291,12.75,15.0,0.0,5.15,0.7685416666666666,0.47,0.8736236546308459,0.4225,0.87,0.0,18.25,10.906291666666668,12.0,3.677260868943607,8.33,13.75,0.0,4.92,1.1999583333333335,1.0,0.8364286669708038,0.71,1.41
cycling_dataset10.csv,0.0,59750.0,29875.0,29875.0,17320.3577234036,14937.5,44812.5,29.67,44.0,36.77616666666666,36.0,3.666613260974704,33.75,40.0,0.0,10.47,2.7432083333333335,2.26,1.8578626043379047,1.3,4.0975,6.0,24.0,14.3585,14.25,3.0459629429787882,12.25,16.5,0.0,7.52,2.8092916666666667,2.59,1.591350290873725,1.5,3.77,8.67,22.75,17.07245833333333,17.25,2.498700870438588,15.75,19.0,0.0,8.38,2.6158333333333332,2.265,1.5741622551552796,1.41,3.5625,60000.0,119750.0,89875.0,89875.0,17320.3577234036,74937.5,104812.5,27.0,45.0,36.862875,36.125,4.11290221753954,33.5,40.575,0.0,9.49,2.457083333333333,1.79,1.7687888492003658,1.22,3.67,5.67,25.0,16.246750000000002,16.125,3.668417156962932,14.0,18.5,0.0,10.61,3.0647500000000005,2.77,1.7159251452690663,1.85,4.0225,11.0,24.67,17.520083333333332,17.75,3.0153515538085367,15.25,20.0,0.0,8.99,3.159291666666667,2.86,1.8166110613623074,1.89,4.0825
