instance,time_min_1,time_max_1,time_mean_1,time_median_1,time_std_1,time_q1_1,time_q3_1,avg_rss12_min_1,avg_rss12_max_1,avg_rss12_mean_1,avg_rss12_median_1,avg_rss12_std_1,avg_rss12_q1_1,avg_rss12_q3_1,var_rss12_min_1,var_rss12_max_1,var_rss12_mean_1,var_rss12_median_1,var_rss12_std_1,var_rss12_q1_1,var_rss12_q3_1,avg_rss13_min_1,avg_rss13_max_1,avg_rss13_mean_1,avg_rss13_median_1,avg_rss13_std_1,avg_rss13_q1_1,avg_rss13_q3_1,var_rss13_min_1,var_rss13_max_1,var_rss13_mean_1,var_rss13_median_1,var_rss13_std_1,var_rss13_q1_1,var_rss13_q3_1,avg_rss23_min_1,avg_rss23_max_1,avg_rss23_mean_1,avg_rss23_median_1,avg_rss23_std_1,avg_rss23_q1_1,avg_rss23_q3_1,var_rss23_min_1,var_rss23_max_1,var_rss23_mean_1,var_rss23_median_1,var_rss23_std_1,var_rss23_q1_1,var_rss23_q3_1
bending1_dataset3.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,35.0,47.4,43.9545,44.33,1.5572104332213206,43.0,45.0,0.0,1.7,0.4262500000000001,0.47,0.33833738708573136,0.0,0.5,6.5,29.75,22.122354166666664,23.0,3.0277839255082206,19.75,24.0,0.0,4.44,0.49731249999999994,0.43,0.5500833897483939,0.0,0.83,29.0,38.5,35.58845833333333,36.0,1.997520055785145,35.3625,36.5,0.0,1.79,0.49329166666666674,0.43,0.5129709201607393,0.0,0.94
bending1_dataset4.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,33.0,47.75,42.1798125,43.5,3.6668400573941615,39.150000000000006,45.0,0.0,3.0,0.6960416666666666,0.5,0.6302028098931505,0.0,1.12,8.5,30.0,22.183625,23.0,3.806498033106239,20.5,24.3725,0.0,5.15,0.9899166666666667,0.83,0.9527364062122442,0.43,1.3,20.0,38.67,33.49391666666667,35.0,3.845435886830285,30.4575,36.33,0.0,2.18,0.6135208333333334,0.5,0.5237706833459076,0.0,1.0
bending1_dataset5.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,33.0,45.75,41.6780625,41.75,2.241151814230148,41.33,42.75,0.0,2.83,0.5359791666666667,0.5,0.40504613881133616,0.43,0.71,3.0,28.25,19.006562500000005,19.125,4.082847257155283,16.5,22.0625,0.0,6.42,0.841875,0.5,0.9278327261464393,0.43,1.12,23.67,37.5,29.857083333333332,30.0,2.408513596194872,28.4575,31.25,0.0,1.79,0.3832916666666667,0.43,0.38875870613688157,0.0,0.5
bending1_dataset6.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,37.0,48.0,43.45495833333334,43.25,1.3846532351448944,42.5,45.0,0.0,1.58,0.3780833333333333,0.47,0.3152374656068378,0.0,0.5,5.75,27.0,15.793333333333333,15.0,3.843627590643448,13.0,18.27,0.0,10.03,0.8493541666666666,0.5,0.9947236841954179,0.43,1.12,8.0,33.5,23.034791666666667,23.5,2.48626836308229,22.25,24.0,0.0,5.26,0.6796458333333334,0.5,0.6218849702578757,0.43,0.87
bending1_dataset7.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,36.25,48.0,43.969125,44.5,1.6166769109426287,43.31,44.67,0.0,1.5,0.41312499999999996,0.47,0.26283673837891586,0.43,0.5,1.5,26.33,15.868020833333333,16.25,3.738519821787669,14.25,18.0,0.0,5.17,0.6663541666666667,0.47,0.7881623138030044,0.0,0.94,11.33,30.75,22.10375,21.67,3.314842772163812,20.5,23.75,0.0,2.96,0.5553124999999999,0.49,0.48731781451507594,0.0,0.83
bending2_dataset3.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,21.0,50.0,32.58620833333334,33.0,6.2316418548081876,26.1875,34.5,0.0,9.9,0.5161250000000001,0.43,0.7891337451334427,0.0,0.8225,0.0,28.25,13.941625,14.25,5.877134742035584,10.0,18.0,0.0,7.4,0.8688958333333333,0.5,1.0259423663877547,0.43,1.12,5.0,33.75,20.34570833333333,19.585,5.0271794111208346,17.67,23.5,0.0,13.61,1.1620416666666666,0.83,1.3315906834549005,0.47,1.3
bending2_dataset4.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,27.5,33.0,29.881937500000003,30.0,1.152634932561224,29.0,30.27,0.0,1.0,0.2564375,0.0,0.2755457014612095,0.0,0.47,0.0,14.5,8.16625,8.75,3.4000655171383585,5.5,11.25,0.0,4.44,0.5446458333333334,0.47,0.6436975541608333,0.0,0.71,11.0,23.25,18.117895833333332,18.0,1.744150685620169,17.0,19.0,0.0,6.4,0.7016249999999999,0.71,0.48060147319964247,0.47,0.94
bending2_dataset5.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,19.0,45.5,30.938104166666665,29.0,7.676137344447139,26.75,38.0,0.0,6.4,0.4671666666666667,0.43,0.733679009437294,0.0,0.5,0.0,32.75,14.589833333333331,15.75,7.6309737783297065,9.6875,20.69,0.0,11.42,0.7775416666666666,0.47,1.0130450170635175,0.0,1.12,1.67,36.0,18.38908333333333,17.5,5.839818561084658,15.0,20.8125,0.0,6.73,1.1073541666666666,0.83,1.0797153751024566,0.47,1.3
bending2_dataset6.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,25.0,47.5,31.058249999999997,29.71,4.824760773430464,27.5,31.8125,0.0,6.38,0.40545833333333337,0.43,0.5660773268119432,0.0,0.5,2.0,28.33,15.296666666666665,15.0,4.83692853357261,13.0,17.75,0.0,5.32,0.8235416666666666,0.5,0.9013075908167472,0.0,1.12,0.0,40.33,14.407187500000001,13.0,7.845241830658276,9.0,18.3125,0.0,4.92,1.0981041666666667,0.94,0.8306136973041713,0.5,1.3
cycling_dataset10.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,27.0,45.0,36.81952083333333,36.0,3.896394270613021,33.75,40.25,0.0,10.47,2.6001458333333334,2.12,1.8195055932127933,1.3,3.87,5.67,25.0,15.302625,15.0,3.501279674544009,12.75,17.67,0.0,10.61,2.9370208333333334,2.62,1.659732558646916,1.7,3.87,8.67,24.67,17.29627083333333,17.415,2.7781320255972908,15.5,19.27,0.0,8.99,2.8875625,2.525,1.721298352095616,1.56,3.77
cycling_dataset11.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,27.0,44.33,36.541666666666664,36.0,4.014733871074839,33.25,39.8125,0.0,10.43,2.847958333333333,2.45,1.890424665235448,1.3,4.15,6.0,27.67,16.1560625,16.0,3.4354360040263328,14.0,18.05,0.0,9.63,3.055458333333333,2.87,1.7405733604947218,1.7975,4.03,7.67,24.5,17.062625,16.75,3.084922301999679,15.0,19.5,0.0,9.18,3.2254583333333335,2.87,1.7679133764404924,1.885,4.262499999999999
cycling_dataset12.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,18.5,44.25,35.75235416666666,36.0,4.609992100452303,33.0,39.33,0.0,12.6,3.3281041666666673,2.83,2.1383451422730233,1.775,4.33,5.0,27.0,16.055020833333334,16.0,3.4425542236687146,13.73,18.33,0.0,9.46,2.8711249999999997,2.6500000000000004,1.703042860404576,1.5,3.7800000000000002,4.0,24.33,16.00127083333333,16.25,3.1168048960405974,14.0,18.0625,0.0,9.39,3.069666666666667,2.77,1.74650349905811,1.7975,4.06
cycling_dataset13.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,19.0,43.75,35.87987499999999,36.0,4.610067920798456,33.0,39.5,0.0,11.2,3.4143125,2.92,2.2356230363540908,1.6549999999999998,4.845000000000001,7.67,26.5,16.690375,17.0,3.0062269862251476,14.75,18.69,0.0,8.87,3.1283541666666665,2.87,1.7776152094588147,1.7225,4.3225,0.0,26.5,17.0783125,17.0,3.5339476666579377,14.75,19.69,0.0,8.5,3.0930208333333336,2.9299999999999997,1.6243394297065208,1.89,4.06
cycling_dataset14.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,23.33,43.5,36.244083333333336,36.75,3.8180324330369726,33.457499999999996,39.25,0.0,9.71,2.7360208333333333,2.17,2.089821314028061,1.22,3.74,7.0,28.5,18.43570833333333,18.33,4.017437605605164,15.67,21.0,0.0,9.78,3.129791666666667,2.895,1.8086123704645012,1.775,4.24,7.67,27.0,18.497145833333335,18.5,3.61393131673334,15.75,21.0,0.0,11.15,3.5305000000000004,3.11,1.9616388131695737,2.17,4.6175
cycling_dataset15.csv,0.0,119750.0,59875.0,59875.0,34640.94097547967,29937.5,89812.5,24.25,45.0,37.17704166666667,36.25,3.5775685991462445,34.5,40.25,0.0,8.58,2.3742083333333337,1.92,1.6001298769987045,1.3,3.13,5.5,26.75,16.531083333333335,16.67,3.427330726632932,14.25,19.0,0.0,8.05,2.9106041666666664,2.62,1.5984694012239664,1.64,3.9175,7.0,25.5,19.60725,20.0,2.8873349050926995,17.95,21.75,0.0,9.34,2.9217291666666667,2.5,1.8506691722138342,1.5,3.9
