# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,31.5,3.77,14.5,2.29,17.0,4.58
250,27.0,2.12,16.75,2.86,20.0,2.12
500,34.0,4.53,16.67,1.7,16.33,3.09
750,32.0,4.58,21.25,2.77,17.0,1.22
1000,35.33,2.49,18.5,3.5,16.0,2.83
1250,42.75,4.82,13.33,4.19,14.5,2.5
1500,33.75,1.3,11.0,3.67,21.0,5.52
1750,31.5,6.1,14.75,4.32,15.25,3.7
2000,41.33,4.5,19.25,4.76,15.33,2.49
2250,35.5,1.8,20.5,3.35,14.5,3.04
2500,36.75,3.9,22.75,3.03,16.75,2.28
2750,42.5,4.77,24.25,0.43,12.5,5.41
3000,28.67,1.7,20.67,4.03,21.5,2.29
3250,24.75,6.3,17.5,3.77,19.5,4.03
3500,37.75,5.02,20.0,4.74,11.25,6.8
3750,36.0,6.6,14.25,5.36,15.25,3.27
4000,35.5,3.91,10.0,1.41,17.25,2.49
4250,41.75,4.26,13.25,3.49,15.25,4.44
4500,34.25,8.9,14.25,2.49,15.0,1.22
4750,33.75,3.9,16.5,3.2,19.0,3.16
5000,40.0,4.85,10.67,2.62,15.67,2.62
5250,36.0,2.55,10.25,1.48,17.0,5.34
5500,32.5,5.36,14.0,1.41,20.67,0.47
5750,40.5,10.74,11.2,1.72,13.0,6.13
6000,29.0,2.24,13.33,3.86,12.67,3.3
6250,31.25,4.92,16.5,2.96,13.75,3.49
6500,38.25,4.21,14.25,3.9,15.25,5.76
6750,36.67,3.3,18.5,2.29,19.33,5.91
7000,31.33,6.13,9.5,5.41,19.67,1.25
7250,41.67,3.3,10.67,1.25,18.0,3.27
7500,28.0,12.47,12.5,2.18,16.0,2.94
7750,26.5,3.35,15.25,2.28,18.75,2.86
8000,36.0,4.24,12.75,3.11,17.0,2.12
8250,35.5,6.18,11.25,2.86,15.0,2.12
8500,28.75,3.27,17.0,1.73,10.75,7.63
8750,37.25,5.76,13.25,2.49,15.5,3.91
9000,32.5,8.5,12.75,4.44,14.75,5.31
9250,27.0,3.67,12.5,2.87,12.25,3.19
9500,34.75,6.91,13.33,2.62,12.33,2.49
9750,34.67,3.09,13.5,6.8,12.67,3.4
10000,33.0,2.12,18.0,0.71,16.0,1.41
10250,34.67,1.89,16.67,1.89,18.75,2.49
10500,33.5,3.57,15.0,1.87,14.75,1.79
10750,30.75,1.3,15.0,4.3,19.0,2.45
11000,35.0,6.52,15.75,3.9,13.67,6.13
11250,39.5,3.91,15.75,5.67,17.67,0.47
11500,36.25,3.83,17.0,3.24,13.5,1.12
11750,41.75,2.17,15.75,3.96,13.25,4.97
12000,33.0,3.32,15.0,3.0,19.67,5.44
12250,30.5,4.92,18.25,2.28,16.5,4.72
12500,40.75,7.33,14.5,2.29,17.0,1.73
12750,30.67,6.24,23.25,1.92,18.67,0.94
13000,34.67,4.64,13.33,3.4,17.5,3.77
13250,34.33,8.34,15.0,0.0,16.33,1.25
13500,39.5,5.12,16.0,3.74,16.75,4.76
13750,28.5,9.23,15.5,2.6,17.25,2.86
14000,41.0,3.61,9.25,4.32,12.0,3.94
14250,37.5,3.2,15.75,5.76,13.25,3.77
14500,35.25,3.11,17.25,1.79,12.0,3.67
14750,37.0,3.39,17.33,1.7,15.0,2.94
15000,33.5,2.87,15.5,2.29,19.0,4.06
15250,33.0,3.0,14.0,1.41,12.5,9.18
15500,40.75,5.07,17.5,3.04,15.75,3.42
15750,33.75,3.27,16.5,4.39,7.25,4.87
16000,32.75,5.4,16.5,2.87,13.0,1.58
16250,33.0,14.82,12.75,4.15,10.5,7.53
16500,36.25,2.17,12.25,5.21,16.5,2.87
16750,34.33,3.09,13.25,2.77,13.0,2.16
17000,39.67,2.05,16.5,1.5,12.0,3.0
17250,37.0,0.82,14.67,2.87,9.5,4.39
17500,36.0,3.54,13.5,2.6,14.5,2.6
17750,36.0,6.63,11.0,7.07,15.0,3.0
18000,32.25,0.83,15.5,2.69,17.0,2.92
18250,32.25,4.15,14.5,5.94,12.25,2.17
18500,36.5,11.46,17.75,4.15,15.75,2.28
