instance,# Columns: time_min,# Columns: time_max,# Columns: time_mean,avg_rss12_min,avg_rss12_max,avg_rss12_mean,var_rss12_min,var_rss12_max,var_rss12_mean,avg_rss13_min,avg_rss13_max,avg_rss13_mean,var_rss13_min,var_rss13_max,var_rss13_mean,avg_rss23_min,avg_rss23_max,avg_rss23_mean,var_rss23_min,var_rss23_max,var_rss23_mean
bending1_dataset3.csv,0,119750,59875.0,35.0,47.4,43.9545,0.0,1.7,0.4262500000000001,6.5,29.75,22.122354166666664,0.0,4.44,0.4973124999999999,29.0,38.5,35.58845833333333,0.0,1.79,0.4932916666666667
bending1_dataset4.csv,0,119750,59875.0,33.0,47.75,42.1798125,0.0,3.0,0.6960416666666666,8.5,30.0,22.183625,0.0,5.15,0.9899166666666668,20.0,38.67,33.49391666666667,0.0,2.18,0.6135208333333334
bending1_dataset5.csv,0,119750,59875.0,33.0,45.75,41.6780625,0.0,2.83,0.5359791666666667,3.0,28.25,19.006562500000005,0.0,6.42,0.841875,23.67,37.5,29.85708333333333,0.0,1.79,0.3832916666666667
bending1_dataset6.csv,0,119750,59875.0,37.0,48.0,43.45495833333334,0.0,1.58,0.3780833333333333,5.75,27.0,15.793333333333331,0.0,10.03,0.8493541666666666,8.0,33.5,23.034791666666667,0.0,5.26,0.6796458333333334
bending1_dataset7.csv,0,119750,59875.0,36.25,48.0,43.969125,0.0,1.5,0.4131249999999999,1.5,26.33,15.868020833333333,0.0,5.17,0.6663541666666667,11.33,30.75,22.10375,0.0,2.96,0.5553124999999999
bending2_dataset3.csv,0,119750,59875.0,21.0,50.0,32.58620833333334,0.0,9.9,0.5161250000000001,0.0,28.25,13.941625,0.0,7.4,0.8688958333333333,5.0,33.75,20.34570833333333,0.0,13.61,1.1620416666666666
bending2_dataset4.csv,0,119750,59875.0,27.5,33.0,29.881937500000003,0.0,1.0,0.2564375,0.0,14.5,8.16625,0.0,4.44,0.5446458333333334,11.0,23.25,18.11789583333333,0.0,6.4,0.7016249999999999
bending2_dataset5.csv,0,119750,59875.0,19.0,45.5,30.938104166666665,0.0,6.4,0.4671666666666667,0.0,32.75,14.589833333333331,0.0,11.42,0.7775416666666666,1.67,36.0,18.38908333333333,0.0,6.73,1.1073541666666666
bending2_dataset6.csv,0,119750,59875.0,25.0,47.5,31.05825,0.0,6.38,0.4054583333333333,2.0,28.33,15.296666666666663,0.0,5.32,0.8235416666666666,0.0,40.33,14.4071875,0.0,4.92,1.0981041666666669
cycling_dataset10.csv,0,119750,59875.0,27.0,45.0,36.81952083333333,0.0,10.47,2.6001458333333334,5.67,25.0,15.302625,0.0,10.61,2.9370208333333334,8.67,24.67,17.29627083333333,0.0,8.99,2.8875625
cycling_dataset11.csv,0,119750,59875.0,27.0,44.33,36.54166666666666,0.0,10.43,2.847958333333333,6.0,27.67,16.1560625,0.0,9.63,3.055458333333333,7.67,24.5,17.062625,0.0,9.18,3.225458333333333
cycling_dataset12.csv,0,119750,59875.0,18.5,44.25,35.75235416666666,0.0,12.6,3.3281041666666678,5.0,27.0,16.055020833333334,0.0,9.46,2.871125,4.0,24.33,16.00127083333333,0.0,9.39,3.069666666666667
cycling_dataset13.csv,0,119750,59875.0,19.0,43.75,35.87987499999999,0.0,11.2,3.4143125,7.67,26.5,16.690375,0.0,8.87,3.1283541666666665,0.0,26.5,17.0783125,0.0,8.5,3.0930208333333336
cycling_dataset14.csv,0,119750,59875.0,23.33,43.5,36.244083333333336,0.0,9.71,2.7360208333333333,7.0,28.5,18.43570833333333,0.0,9.78,3.129791666666667,7.67,27.0,18.49714583333333,0.0,11.15,3.5305000000000004
cycling_dataset15.csv,0,119750,59875.0,24.25,45.0,37.17704166666667,0.0,8.58,2.3742083333333337,5.5,26.75,16.531083333333335,0.0,8.05,2.9106041666666664,7.0,25.5,19.60725,0.0,9.34,2.9217291666666667
cycling_dataset4.csv,0,119750,59875.0,19.0,44.0,36.22839583333333,0.0,12.28,2.8316875,5.5,25.25,15.4245,0.0,9.5,3.119125,2.5,24.5,15.872375000000002,0.0,9.98,3.4806875
cycling_dataset5.csv,0,119750,59875.0,26.5,44.33,36.68729166666667,0.0,12.89,2.9730416666666666,8.33,28.25,18.396791666666665,0.0,9.63,2.9766041666666667,3.0,24.67,16.48,0.0,8.19,3.0733125
cycling_dataset6.csv,0,119750,59875.0,25.33,45.0,37.1143125,0.0,10.84,2.73,3.0,27.25,16.66391666666667,0.0,10.57,3.138541666666667,6.75,23.33,16.48754166666667,0.0,9.5,3.076354166666667
cycling_dataset7.csv,0,119750,59875.0,26.75,44.75,36.863375,0.0,11.68,2.7573125,7.0,27.0,16.49475,0.0,9.01,3.013604166666666,8.0,23.0,16.581145833333334,0.0,8.81,2.7733125000000003
cycling_dataset8.csv,0,119750,59875.0,26.25,44.25,36.957458333333335,0.0,8.64,2.420083333333333,7.0,26.5,15.313416666666669,0.0,8.06,2.784145833333333,2.0,22.25,15.98916666666667,0.0,8.34,2.934625
cycling_dataset9.csv,0,119750,59875.0,27.75,44.67,37.14483333333333,0.0,10.76,2.4190625,0.0,24.75,14.998479166666668,0.0,9.0,2.849625,0.0,23.0,16.773520833333333,0.0,8.75,2.8224375
lying_dataset10.csv,0,119750,59875.0,23.5,30.0,27.716375000000003,0.0,1.79,0.3636875,0.0,13.25,6.078104166666666,0.0,5.02,0.8700416666666667,0.0,21.0,8.337020833333332,0.0,4.5,0.7353958333333334
